# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-01-26 17:32:46 -05:00	(natwebcaas01)
#
# US Geological Survey groundwater levels
#
# Data for the following 1 site(s) are contained in this file
#    USGS 430429089230301 DN-07/09E/23-0005
# -----------------------------------------------------------------------------------
#
# The fields in this file include:
# ---------------------------------
# agency_cd     Agency code
# site_no       USGS site number
# site_tp_cd    Site type code
# lev_dt        Date level measured
# lev_tm        Time level measured
# lev_tz_cd     Time datum
# lev_va        Water-level value in feet below land surface
# sl_lev_va     Water-level value in feet above specific vertical datum
# sl_datum_cd   Referenced vertical datum
# lev_status_cd Status
# lev_agency_cd Measuring agency
#
# Referenced agency codes (lev_agency_cd) included in this output
#
#     ""         Not Determined
#     USGS       U.S. Geological Survey
#     WI001      Wisconsin Department of Natural Resources
#     WI013      Wisconsin Department of Administration
#
# Referenced site type codes (site_tp_cd) included in this output
#
#     GW         Well
#
# Referenced water-level site status codes (lev_status_cd) included in this output
#
#     ""         The reported water-level measurement represents a static level
#
#
agency_cd	site_no	site_tp_cd	lev_dt	lev_tm	lev_tz_cd	lev_va	sl_lev_va	sl_datum_cd	lev_status_cd	lev_agency_cd
5s	15s	6s	10d	5d	5s	12s	12s	10s	1s	5s
USGS	430429089230301	GW	1946-07-21			105.28				
USGS	430429089230301	GW	1946-08-12			102.91				
USGS	430429089230301	GW	1946-09-11			102.28				
USGS	430429089230301	GW	1946-11-13			102.05				
USGS	430429089230301	GW	1947-01-07			101.63				
USGS	430429089230301	GW	1947-02-15			100.75				
USGS	430429089230301	GW	1947-03-18			100.11				
USGS	430429089230301	GW	1947-03-24			99.62				
USGS	430429089230301	GW	1947-04-14			98.13				
USGS	430429089230301	GW	1947-05-12			100.07				
USGS	430429089230301	GW	1947-06-05			94.08				
USGS	430429089230301	GW	1947-07-03			94.9				
USGS	430429089230301	GW	1947-07-31			96.73				
USGS	430429089230301	GW	1947-08-28			97.06				
USGS	430429089230301	GW	1947-09-26			94.94				
USGS	430429089230301	GW	1947-10-23			94.55				
USGS	430429089230301	GW	1947-11-15			92.96				
USGS	430429089230301	GW	1947-12-11			91.36				
USGS	430429089230301	GW	1948-01-05			89.08				
USGS	430429089230301	GW	1948-02-12			90.94				
USGS	430429089230301	GW	1948-03-12			89.38				
USGS	430429089230301	GW	1948-04-15			87.68				
USGS	430429089230301	GW	1948-05-10			86.55				
USGS	430429089230301	GW	1948-06-10			97.97				
USGS	430429089230301	GW	1948-07-16			98.32				
USGS	430429089230301	GW	1948-08-05			96.77				
USGS	430429089230301	GW	1948-09-02			97.61				
USGS	430429089230301	GW	1948-09-29			97.03				
USGS	430429089230301	GW	1948-10-14			92.83				
USGS	430429089230301	GW	1948-10-27			90.66				
USGS	430429089230301	GW	1948-11-15			93.07				
USGS	430429089230301	GW	1948-12-03			94.4				
USGS	430429089230301	GW	1949-01-03			92.95				
USGS	430429089230301	GW	1949-02-28			92.74				
USGS	430429089230301	GW	1949-03-15			92.42				
USGS	430429089230301	GW	1949-04-15			92.11				
USGS	430429089230301	GW	1949-05-02			91.79				
USGS	430429089230301	GW	1949-06-06			95.35				
USGS	430429089230301	GW	1949-07-25			95.27				
USGS	430429089230301	GW	1949-08-15			95.48				
USGS	430429089230301	GW	1949-09-14			95.68				
USGS	430429089230301	GW	1949-10-15			93.50				
USGS	430429089230301	GW	1949-11-29			91.32				
USGS	430429089230301	GW	1949-12-15			91.15				
USGS	430429089230301	GW	1950-01-15			90.97				
USGS	430429089230301	GW	1950-02-10			90.8				
USGS	430429089230301	GW	1950-03-15			90.71				
USGS	430429089230301	GW	1950-04-12			90.61				
USGS	430429089230301	GW	1950-05-12			90.26				
USGS	430429089230301	GW	1950-06-15			90.69				
USGS	430429089230301	GW	1950-07-11			91.12				
USGS	430429089230301	GW	1950-08-15			90.04				
USGS	430429089230301	GW	1950-09-14			88.96				
USGS	430429089230301	GW	1950-10-15			88.52				
USGS	430429089230301	GW	1950-11-16			88.07				
USGS	430429089230301	GW	1950-12-15			88.17				
USGS	430429089230301	GW	1951-01-25			88.27				
USGS	430429089230301	GW	1951-02-15			88.05				
USGS	430429089230301	GW	1951-03-15			87.84				
USGS	430429089230301	GW	1951-04-15			87.62				
USGS	430429089230301	GW	1951-05-25			87.4				
USGS	430429089230301	GW	1951-06-15			87.70				
USGS	430429089230301	GW	1951-07-25			88				
USGS	430429089230301	GW	1951-08-15			87.37				
USGS	430429089230301	GW	1951-09-15			86.73				
USGS	430429089230301	GW	1951-10-01			86.1				
USGS	430429089230301	GW	1951-11-15			86.25				
USGS	430429089230301	GW	1951-12-12			86.4				
USGS	430429089230301	GW	1952-01-15			86.02				
USGS	430429089230301	GW	1952-02-15			85.65				
USGS	430429089230301	GW	1952-03-15			85.27				
USGS	430429089230301	GW	1952-04-15			84.89				
USGS	430429089230301	GW	1952-05-15			85.45				
USGS	430429089230301	GW	1952-06-17			86				
USGS	430429089230301	GW	1952-07-15			86.23				
USGS	430429089230301	GW	1952-08-15			86.45				
USGS	430429089230301	GW	1952-09-16			86.68				
USGS	430429089230301	GW	1952-10-14			86.85				
USGS	430429089230301	GW	1952-11-15			86.48				
USGS	430429089230301	GW	1952-12-12			86.11				
USGS	430429089230301	GW	1953-01-15			85.78				
USGS	430429089230301	GW	1953-02-09			85.44				
USGS	430429089230301	GW	1953-03-15			84.80				
USGS	430429089230301	GW	1953-04-14			84.15				
USGS	430429089230301	GW	1953-05-15			85.24				
USGS	430429089230301	GW	1953-06-23			86.33				
USGS	430429089230301	GW	1953-07-15			87.89				
USGS	430429089230301	GW	1953-08-31			89.44				
USGS	430429089230301	GW	1953-09-15			88.70				
USGS	430429089230301	GW	1953-10-20			87.95				
USGS	430429089230301	GW	1953-11-15			87.30				
USGS	430429089230301	GW	1953-12-15			86.65				
USGS	430429089230301	GW	1954-01-13			86				
USGS	430429089230301	GW	1954-02-15			85.81				
USGS	430429089230301	GW	1954-03-09			85.62				
USGS	430429089230301	GW	1954-04-15			84.69				
USGS	430429089230301	GW	1954-05-10			83.76				
USGS	430429089230301	GW	1954-06-15			83.68				
USGS	430429089230301	GW	1954-07-13			83.6				
USGS	430429089230301	GW	1954-08-15			84.22				
USGS	430429089230301	GW	1954-09-17			84.84				
USGS	430429089230301	GW	1954-10-15			84.87				
USGS	430429089230301	GW	1954-11-15			84.90				
USGS	430429089230301	GW	1954-12-15			84.93				
USGS	430429089230301	GW	1955-01-15			84.97				
USGS	430429089230301	GW	1955-02-15			85.00				
USGS	430429089230301	GW	1955-03-15			85.03				
USGS	430429089230301	GW	1955-04-15			85.06				
USGS	430429089230301	GW	1955-05-15			85.09				
USGS	430429089230301	GW	1955-06-15			85.12				
USGS	430429089230301	GW	1955-07-15			85.16				
USGS	430429089230301	GW	1955-08-15			85.19				
USGS	430429089230301	GW	1955-09-15			85.22				
USGS	430429089230301	GW	1955-10-15			85.25				
USGS	430429089230301	GW	1955-11-15			85.28				
USGS	430429089230301	GW	1955-12-15			85.31				
USGS	430429089230301	GW	1956-01-15			85.34				
USGS	430429089230301	GW	1956-02-15			85.38				
USGS	430429089230301	GW	1956-03-15			85.41				
USGS	430429089230301	GW	1956-04-15			85.44				
USGS	430429089230301	GW	1956-05-15			85.47				
USGS	430429089230301	GW	1956-06-15			85.50				
USGS	430429089230301	GW	1956-07-15			85.53				
USGS	430429089230301	GW	1956-08-15			85.57				
USGS	430429089230301	GW	1956-09-15			85.60				
USGS	430429089230301	GW	1956-10-15			85.63				
USGS	430429089230301	GW	1956-11-30			85.66				
USGS	430429089230301	GW	1956-12-01			85.68				
USGS	430429089230301	GW	1956-12-02			85.68				
USGS	430429089230301	GW	1956-12-03			85.62				
USGS	430429089230301	GW	1956-12-04			85.63				
USGS	430429089230301	GW	1956-12-05			85.66				
USGS	430429089230301	GW	1956-12-06			85.73				
USGS	430429089230301	GW	1956-12-07			85.84				
USGS	430429089230301	GW	1956-12-08			85.9				
USGS	430429089230301	GW	1956-12-09			85.9				
USGS	430429089230301	GW	1956-12-10			85.88				
USGS	430429089230301	GW	1956-12-11			85.8				
USGS	430429089230301	GW	1956-12-12			85.79				
USGS	430429089230301	GW	1956-12-13			85.84				
USGS	430429089230301	GW	1956-12-14			85.88				
USGS	430429089230301	GW	1956-12-15			85.9				
USGS	430429089230301	GW	1956-12-16			85.91				
USGS	430429089230301	GW	1956-12-17			85.9				
USGS	430429089230301	GW	1956-12-18			85.92				
USGS	430429089230301	GW	1956-12-19			85.97				
USGS	430429089230301	GW	1956-12-20			86.01				
USGS	430429089230301	GW	1956-12-21			86.04				
USGS	430429089230301	GW	1956-12-22			86.07				
USGS	430429089230301	GW	1956-12-23			86.09				
USGS	430429089230301	GW	1956-12-24			86.08				
USGS	430429089230301	GW	1956-12-25			86.08				
USGS	430429089230301	GW	1956-12-26			86.08				
USGS	430429089230301	GW	1956-12-27			86.07				
USGS	430429089230301	GW	1956-12-28			86.12				
USGS	430429089230301	GW	1956-12-29			86.2				
USGS	430429089230301	GW	1956-12-30			86.22				
USGS	430429089230301	GW	1956-12-31			86.22				
USGS	430429089230301	GW	1957-01-01			86.26				
USGS	430429089230301	GW	1957-01-02			86.29				
USGS	430429089230301	GW	1957-01-03			86.3				
USGS	430429089230301	GW	1957-01-04			86.37				
USGS	430429089230301	GW	1957-01-05			86.43				
USGS	430429089230301	GW	1957-01-06			86.44				
USGS	430429089230301	GW	1957-01-07			86.46				
USGS	430429089230301	GW	1957-01-08			86.5				
USGS	430429089230301	GW	1957-01-09			86.56				
USGS	430429089230301	GW	1957-01-10			86.66				
USGS	430429089230301	GW	1957-01-11			86.74				
