# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-03 10:56:13 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05400513 PLOVER RIVER AT HIGHWAY 66 AT STEVENS POINT, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05400513
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	05400513	2010-04-01	136	A:e
USGS	05400513	2010-04-02	133	A
USGS	05400513	2010-04-03	136	A
USGS	05400513	2010-04-04	140	A
USGS	05400513	2010-04-05	138	A
USGS	05400513	2010-04-06	145	A
USGS	05400513	2010-04-07	176	A
USGS	05400513	2010-04-08	210	A
USGS	05400513	2010-04-09	174	A
USGS	05400513	2010-04-10	141	A
USGS	05400513	2010-04-11	139	A
USGS	05400513	2010-04-12	134	A
USGS	05400513	2010-04-13	128	A
USGS	05400513	2010-04-14	120	A
USGS	05400513	2010-04-15	116	A
USGS	05400513	2010-04-16	112	A
USGS	05400513	2010-04-17	114	A
USGS	05400513	2010-04-18	108	A
USGS	05400513	2010-04-19	99	A
USGS	05400513	2010-04-20	93	A
USGS	05400513	2010-04-21	93	A
USGS	05400513	2010-04-22	95	A
USGS	05400513	2010-04-23	94	A
USGS	05400513	2010-04-24	96	A
USGS	05400513	2010-04-25	111	A
USGS	05400513	2010-04-26	117	A
USGS	05400513	2010-04-27	113	A
USGS	05400513	2010-04-28	106	A
USGS	05400513	2010-04-29	93	A
USGS	05400513	2010-04-30	89	A
USGS	05400513	2010-05-01	89	A
USGS	05400513	2010-05-02	89	A
USGS	05400513	2010-05-03	88	A
USGS	05400513	2010-05-04	90	A
USGS	05400513	2010-05-05	89	A
USGS	05400513	2010-05-06	92	A
USGS	05400513	2010-05-07	97	A:e
USGS	05400513	2010-05-08	109	A
USGS	05400513	2010-05-09	135	A
USGS	05400513	2010-05-10	132	A
USGS	05400513	2010-05-11	137	A
USGS	05400513	2010-05-12	138	A
USGS	05400513	2010-05-13	144	A
USGS	05400513	2010-05-14	144	A
USGS	05400513	2010-05-15	139	A
USGS	05400513	2010-05-16	128	A
USGS	05400513	2010-05-17	110	A
USGS	05400513	2010-05-18	98	A
USGS	05400513	2010-05-19	91	A
USGS	05400513	2010-05-20	85	A
USGS	05400513	2010-05-21	84	A
USGS	05400513	2010-05-22	78	A
USGS	05400513	2010-05-23	78	A
USGS	05400513	2010-05-24	76	A
USGS	05400513	2010-05-25	73	A
USGS	05400513	2010-05-26	75	A
USGS	05400513	2010-05-27	70	A
USGS	05400513	2010-05-28	67	A
USGS	05400513	2010-05-29	64	A
USGS	05400513	2010-05-30	61	A
USGS	05400513	2010-05-31	65	A
USGS	05400513	2010-06-01	76	A
USGS	05400513	2010-06-02	75	A
USGS	05400513	2010-06-03	70	A
USGS	05400513	2010-06-04	80	A
USGS	05400513	2010-06-05	90	A
USGS	05400513	2010-06-06	101	A
USGS	05400513	2010-06-07	96	A
USGS	05400513	2010-06-08	96	A
USGS	05400513	2010-06-09	115	A
USGS	05400513	2010-06-10	151	A
USGS	05400513	2010-06-11	157	A
USGS	05400513	2010-06-12	146	A
USGS	05400513	2010-06-13	153	A
USGS	05400513	2010-06-14	157	A
USGS	05400513	2010-06-15	150	A
USGS	05400513	2010-06-16	132	A
USGS	05400513	2010-06-17	119	A
USGS	05400513	2010-06-18	115	A
USGS	05400513	2010-06-19	115	A
USGS	05400513	2010-06-20	112	A
USGS	05400513	2010-06-21	108	A
USGS	05400513	2010-06-22	96	A
USGS	05400513	2010-06-23	128	A
USGS	05400513	2010-06-24	153	A
USGS	05400513	2010-06-25	116	A
USGS	05400513	2010-06-26	109	A
USGS	05400513	2010-06-27	131	A
USGS	05400513	2010-06-28	115	A
USGS	05400513	2010-06-29	105	A
USGS	05400513	2010-06-30	95	A
USGS	05400513	2010-07-01	90	A
USGS	05400513	2010-07-02	85	A
USGS	05400513	2010-07-03	77	A
USGS	05400513	2010-07-04	75	A
USGS	05400513	2010-07-05	96	A
USGS	05400513	2010-07-06	131	A
USGS	05400513	2010-07-07	173	A
USGS	05400513	2010-07-08	168	A
USGS	05400513	2010-07-09	141	A
USGS	05400513	2010-07-10	122	A
USGS	05400513	2010-07-11	104	A
USGS	05400513	2010-07-12	111	A
USGS	05400513	2010-07-13	101	A
USGS	05400513	2010-07-14	105	A
USGS	05400513	2010-07-15	269	A
USGS	05400513	2010-07-16	404	A
USGS	05400513	2010-07-17	475	A
USGS	05400513	2010-07-18	464	A
USGS	05400513	2010-07-19	436	A
USGS	05400513	2010-07-20	414	A
USGS	05400513	2010-07-21	380	A
USGS	05400513	2010-07-22	365	A
USGS	05400513	2010-07-23	379	A
USGS	05400513	2010-07-24	392	A
USGS	05400513	2010-07-25	397	A
USGS	05400513	2010-07-26	411	A
USGS	05400513	2010-07-27	410	A
USGS	05400513	2010-07-28	394	A
USGS	05400513	2010-07-29	355	A
USGS	05400513	2010-07-30	336	A
USGS	05400513	2010-07-31	323	A
USGS	05400513	2010-08-01	313	A
USGS	05400513	2010-08-02	285	A
USGS	05400513	2010-08-03	266	A
USGS	05400513	2010-08-04	225	A
USGS	05400513	2010-08-05	213	A
USGS	05400513	2010-08-06	206	A
USGS	05400513	2010-08-07	167	A
USGS	05400513	2010-08-08	254	A
USGS	05400513	2010-08-09	260	A
USGS	05400513	2010-08-10	257	A
USGS	05400513	2010-08-11	282	A
USGS	05400513	2010-08-12	296	A
USGS	05400513	2010-08-13	269	A
