# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-03-19 13:48:30 -04:00	(natwebvaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09380000 COLORADO RIVER AT LEES FERRY, AZ
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 09380000
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    5188        00060        00003      6128           Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been edited or estimated by USGS personnel and is write protected.
#     <  Actual value is known to be less than reported value and is write protected.
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	5188_00060_00003	5188_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09380000	1921-10-01	7120	A
USGS	09380000	1921-10-02	11800	A
USGS	09380000	1921-10-03	7830	A
USGS	09380000	1921-10-04	7470	A
USGS	09380000	1921-10-05	6780	A
USGS	09380000	1921-10-06	6950	A
USGS	09380000	1921-10-07	6950	A
USGS	09380000	1921-10-08	7120	A
USGS	09380000	1921-10-09	6780	A
USGS	09380000	1921-10-10	6780	A
USGS	09380000	1921-10-11	6780	A
USGS	09380000	1921-10-12	6780	A
USGS	09380000	1921-10-13	6950	A
USGS	09380000	1921-10-14	7120	A
USGS	09380000	1921-10-15	6780	A
USGS	09380000	1921-10-16	6780	A
USGS	09380000	1921-10-17	6450	A
USGS	09380000	1921-10-18	6450	A
USGS	09380000	1921-10-19	6130	A
USGS	09380000	1921-10-20	6290	A
USGS	09380000	1921-10-21	6450	A
USGS	09380000	1921-10-22	6130	A
USGS	09380000	1921-10-23	6130	A
USGS	09380000	1921-10-24	6130	A
USGS	09380000	1921-10-25	6130	A
USGS	09380000	1921-10-26	6780	A
USGS	09380000	1921-10-27	7120	A
USGS	09380000	1921-10-28	7650	A
USGS	09380000	1921-10-29	7650	A
USGS	09380000	1921-10-30	6780	A
USGS	09380000	1921-10-31	6450	A
USGS	09380000	1921-11-01	6780	A
USGS	09380000	1921-11-02	6780	A
USGS	09380000	1921-11-03	6780	A
USGS	09380000	1921-11-04	6780	A
USGS	09380000	1921-11-05	6950	A
USGS	09380000	1921-11-06	7120	A
USGS	09380000	1921-11-07	7300	A
USGS	09380000	1921-11-08	7300	A
USGS	09380000	1921-11-09	7120	A
USGS	09380000	1921-11-10	7120	A
USGS	09380000	1921-11-11	7120	A
USGS	09380000	1921-11-12	7120	A
USGS	09380000	1921-11-13	6950	A
USGS	09380000	1921-11-14	6950	A
USGS	09380000	1921-11-15	6780	A
USGS	09380000	1921-11-16	6450	A
USGS	09380000	1921-11-17	6450	A
USGS	09380000	1921-11-18	6780	A
USGS	09380000	1921-11-19	6780	A
USGS	09380000	1921-11-20	6950	A
USGS	09380000	1921-11-21	6950	A
USGS	09380000	1921-11-22	6950	A
USGS	09380000	1921-11-23	7120	A
USGS	09380000	1921-11-24	6950	A
USGS	09380000	1921-11-25	6620	A
USGS	09380000	1921-11-26	6620	A
USGS	09380000	1921-11-27	7120	A
USGS	09380000	1921-11-28	7470	A
USGS	09380000	1921-11-29	7470	A
USGS	09380000	1921-11-30	7650	A
USGS	09380000	1921-12-01	7650	A
USGS	09380000	1921-12-02	7470	A
USGS	09380000	1921-12-03	7470	A
USGS	09380000	1921-12-04	7300	A
USGS	09380000	1921-12-05	7120	A
USGS	09380000	1921-12-06	7120	A
USGS	09380000	1921-12-07	7120	A
USGS	09380000	1921-12-08	7470	A
USGS	09380000	1921-12-09	6950	A
USGS	09380000	1921-12-10	6450	A
USGS	09380000	1921-12-11	5830	A
USGS	09380000	1921-12-12	5830	A
USGS	09380000	1921-12-13	5550	A
USGS	09380000	1921-12-14	5280	A
USGS	09380000	1921-12-15	5020	A
USGS	09380000	1921-12-16	5020	A
USGS	09380000	1921-12-17	5150	A
USGS	09380000	1921-12-18	5420	A
USGS	09380000	1921-12-19	5980	A
USGS	09380000	1921-12-20	6130	A
USGS	09380000	1921-12-21	6450	A
USGS	09380000	1921-12-22	7300	A
USGS	09380000	1921-12-23	7470	A
USGS	09380000	1921-12-24	8020	A
USGS	09380000	1921-12-25	8580	A
USGS	09380000	1921-12-26	9810	A
USGS	09380000	1921-12-27	10500	A
USGS	09380000	1921-12-28	11800	A
USGS	09380000	1921-12-29	10700	A
USGS	09380000	1921-12-30	9180	A
USGS	09380000	1921-12-31	8780	A
USGS	09380000	1922-01-01	8580	A
USGS	09380000	1922-01-02	8390	A
USGS	09380000	1922-01-03	8200	A
USGS	09380000	1922-01-04	8580	A
USGS	09380000	1922-01-05	10000	A
USGS	09380000	1922-01-06	8980	A
USGS	09380000	1922-01-07	8980	A
USGS	09380000	1922-01-08	8390	A
USGS	09380000	1922-01-09	7300	A
USGS	09380000	1922-01-10	6620	A
USGS	09380000	1922-01-11	5280	A
USGS	09380000	1922-01-12	4430	A
USGS	09380000	1922-01-13	3900	A
USGS	09380000	1922-01-14	3700	A
USGS	09380000	1922-01-15	3700	A
USGS	09380000	1922-01-16	4110	A
USGS	09380000	1922-01-17	4110	A
USGS	09380000	1922-01-18	4320	A
USGS	09380000	1922-01-19	4540	A
USGS	09380000	1922-01-20	4540	A
USGS	09380000	1922-01-21	4900	A
